Interest,Skill_Level,Aptitude,Personality,Career,Education_Level,Preferred_Work_Type
Coding,High,85,Analytical,Data Scientist,,
Coding,Medium,70,Introvert,Software Developer,,
Design,High,75,Creative,UI/UX Designer,,
Business,High,80,Extrovert,MBA,,
Coding,High,90,Analytical,Data Scientist,,
Design,Medium,65,Creative,UI/UX Designer,,
Business,Medium,60,Extrovert,Marketing Manager,,
Coding,Medium,72,Analytical,Software Developer,,
Business,High,88,Extrovert,MBA,,
Design,High,78,Creative,UI/UX Designer,,
Arts,High,90,Creative,Artist,,
Teaching,Medium,52,Creative,Teacher,Master,Hybrid
Arts,Low,97,Creative,Artist,High School,Onsite
Coding,Medium,97,Introvert,Data Scientist,High School,Onsite
Healthcare,Low,69,Creative,Doctor,Master,Onsite
Coding,Medium,100,Introvert,AI Engineer,High School,Remote
Business,Low,91,Introvert,MBA,Bachelor,Hybrid
Healthcare,High,79,Creative,Doctor,Bachelor,Hybrid
Healthcare,Medium,87,Introvert,Nurse,Bachelor,Hybrid
Teaching,Medium,72,Extrovert,Professor,Master,Hybrid
Coding,Low,51,Introvert,Software Developer,Bachelor,Hybrid
Arts,Low,71,Extrovert,Content Creator,Master,Remote
Healthcare,High,80,Creative,Doctor,Bachelor,Onsite
Design,Low,91,Analytical,UI/UX Designer,Master,Onsite
Teaching,Medium,55,Extrovert,Teacher,High School,Onsite
Healthcare,High,70,Introvert,Nurse,Master,Hybrid
Coding,High,93,Introvert,AI Engineer,High School,Hybrid
Arts,Medium,76,Analytical,Artist,High School,Remote
Business,Low,73,Creative,MBA,Bachelor,Hybrid
Healthcare,High,76,Extrovert,Nurse,High School,Hybrid
Teaching,Medium,82,Extrovert,Professor,Master,Remote
Arts,Medium,53,Extrovert,Artist,High School,Remote
Design,High,61,Extrovert,UI/UX Designer,High School,Onsite
Business,Medium,95,Introvert,MBA,Bachelor,Hybrid
Business,High,84,Extrovert,MBA,Master,Hybrid
Design,High,52,Creative,UI/UX Designer,High School,Onsite
Healthcare,Medium,61,Creative,Doctor,High School,Remote
Business,Medium,59,Analytical,Marketing Manager,High School,Onsite
Business,High,92,Extrovert,Marketing Manager,Master,Remote
Coding,Medium,92,Analytical,Data Scientist,Master,Onsite
Teaching,Low,75,Creative,Teacher,High School,Remote
Coding,Medium,91,Extrovert,Software Developer,Master,Hybrid
Business,Medium,55,Introvert,MBA,Bachelor,Onsite
Business,High,67,Extrovert,MBA,High School,Hybrid
Healthcare,High,86,Creative,Doctor,Master,Remote
Coding,Low,68,Extrovert,Data Scientist,Bachelor,Hybrid
Healthcare,Low,97,Introvert,Nurse,Bachelor,Onsite
Arts,Medium,71,Introvert,Artist,Master,Hybrid
Arts,Medium,79,Introvert,Content Creator,Master,Hybrid
Design,High,80,Extrovert,UI/UX Designer,High School,Remote
Teaching,Low,78,Analytical,Professor,Master,Remote
Business,Low,58,Extrovert,MBA,Master,Onsite
Coding,High,82,Creative,Software Developer,Master,Hybrid
Healthcare,Low,65,Introvert,Doctor,Master,Hybrid
Business,High,59,Introvert,MBA,Master,Onsite
Finance,Medium,73,Introvert,Financial Analyst,Bachelor,Hybrid
Healthcare,High,57,Introvert,Doctor,Bachelor,Onsite
Healthcare,Medium,57,Analytical,Nurse,Bachelor,Remote
Design,High,52,Introvert,UI/UX Designer,Bachelor,Onsite
Design,Medium,100,Extrovert,Graphic Designer,High School,Remote
Arts,Medium,84,Creative,Content Creator,Master,Remote
